,ID,ai_et0,lons,lats,Variable,ai
1,1,1357,-112.745,40.45166,Productivity,0.1357
2,2,1357,-112.745,40.45166,Productivity,0.1357
3,3,1357,-112.745,40.45166,Productivity,0.1357
4,4,1357,-112.745,40.45166,Productivity,0.1357
5,5,1357,-112.745,40.45166,Productivity,0.1357
6,6,1357,-112.745,40.45166,Productivity,0.1357
7,7,1357,-112.745,40.45166,Productivity,0.1357
8,8,1357,-112.745,40.45166,Productivity,0.1357
9,9,1357,-112.745,40.45166,Productivity,0.1357
10,10,1357,-112.745,40.45166,Productivity,0.1357
11,11,1357,-112.745,40.45166,Productivity,0.1357
12,12,1357,-112.745,40.45166,Productivity,0.1357
13,13,1357,-112.745,40.45166,Productivity,0.1357
14,14,1357,-112.745,40.45166,Productivity,0.1357
15,15,1357,-112.745,40.45166,Productivity,0.1357
16,16,1357,-112.745,40.45166,Productivity,0.1357
17,17,1357,-112.745,40.45166,Productivity,0.1357
18,18,1357,-112.745,40.45166,Productivity,0.1357
19,19,1357,-112.745,40.45166,Productivity,0.1357
20,20,1357,-112.745,40.45166,Productivity,0.1357
21,21,1357,-112.745,40.45166,Productivity,0.1357
22,22,1357,-112.745,40.45166,Productivity,0.1357
23,23,1846,-1.0434985,38.2062817,Productivity,0.1846
24,24,1846,-1.0434985,38.2062817,Productivity,0.1846
25,25,1846,-1.0434985,38.2062817,Productivity,0.1846
26,26,1846,-1.0434985,38.2062817,Productivity,0.1846
27,27,1846,-1.0434985,38.2062817,Productivity,0.1846
28,28,1846,-1.0434985,38.2062817,Productivity,0.1846
29,29,1846,-1.0434985,38.2062817,Productivity,0.1846
30,30,1846,-1.0434985,38.2062817,Productivity,0.1846
31,31,1846,-1.0434985,38.2062817,Productivity,0.1846
32,32,1846,-1.0434985,38.2062817,Productivity,0.1846
33,33,1846,-1.0434985,38.2062817,Productivity,0.1846
34,34,1846,-1.0434985,38.2062817,Productivity,0.1846
35,35,1846,-1.0434985,38.2062817,Productivity,0.1846
36,36,1846,-1.0434985,38.2062817,Productivity,0.1846
37,37,1846,-1.0434985,38.2062817,Productivity,0.1846
38,38,1846,-1.0434985,38.2062817,Productivity,0.1846
39,39,1846,-1.0434985,38.2062817,Productivity,0.1846
40,40,1846,-1.0434985,38.2062817,Productivity,0.1846
41,41,1846,-1.0434985,38.2062817,Productivity,0.1846
42,42,1846,-1.0434985,38.2062817,Productivity,0.1846
43,43,2010,-1.83333,38.18333,Productivity,0.201
44,44,2010,-1.83333,38.18333,Productivity,0.201
45,45,2010,-1.83333,38.18333,Productivity,0.201
46,46,2010,-1.83333,38.18333,Productivity,0.201
47,47,2245,-104.87444,40.89611,Productivity,0.2245
48,48,2245,-104.87444,40.89611,Productivity,0.2245
49,49,2245,-104.87444,40.89611,Productivity,0.2245
50,50,2245,-104.87444,40.89611,Productivity,0.2245
51,51,2245,-104.87444,40.89611,Productivity,0.2245
52,52,2245,-104.87444,40.89611,Productivity,0.2245
53,53,2245,-104.87444,40.89611,Productivity,0.2245
54,54,2245,-104.87444,40.89611,Productivity,0.2245
55,55,2245,-104.87444,40.89611,Productivity,0.2245
56,56,2245,-104.87444,40.89611,Productivity,0.2245
57,57,2245,-104.87444,40.89611,Productivity,0.2245
58,58,2245,-104.87444,40.89611,Productivity,0.2245
59,59,2245,-104.87444,40.89611,Productivity,0.2245
60,60,2245,-104.87444,40.89611,Productivity,0.2245
61,61,2245,-104.87444,40.89611,Productivity,0.2245
62,62,2245,-104.87444,40.89611,Productivity,0.2245
63,63,2245,-104.87444,40.89611,Productivity,0.2245
64,64,2245,-104.87444,40.89611,Productivity,0.2245
65,65,2402,-104.85183,41.21286,Productivity,0.2402
66,66,2402,-104.85183,41.21286,Productivity,0.2402
67,67,2402,-104.85183,41.21286,Productivity,0.2402
68,68,2402,-104.85183,41.21286,Productivity,0.2402
69,69,2402,-104.85183,41.21286,Productivity,0.2402
70,70,2402,-104.85183,41.21286,Productivity,0.2402
71,71,2402,-104.85183,41.21286,Productivity,0.2402
72,72,2514,-3.56861,40.20889,Productivity,0.2514
73,73,2514,-3.56861,40.20889,Productivity,0.2514
74,74,2514,-3.56861,40.20889,Productivity,0.2514
75,75,2514,-3.56861,40.20889,Productivity,0.2514
76,76,2514,-3.56861,40.20889,Productivity,0.2514
77,77,2514,-3.56861,40.20889,Productivity,0.2514
78,78,2514,-3.56861,40.20889,Productivity,0.2514
79,79,2514,-3.56861,40.20889,Productivity,0.2514
80,80,2514,-3.56861,40.20889,Productivity,0.2514
81,81,2514,-3.56861,40.20889,Productivity,0.2514
82,82,2514,-3.56861,40.20889,Productivity,0.2514
83,83,2514,-3.56861,40.20889,Productivity,0.2514
84,84,2514,-3.56861,40.20889,Productivity,0.2514
85,85,2514,-3.56861,40.20889,Productivity,0.2514
86,86,2514,-3.56861,40.20889,Productivity,0.2514
87,87,2614,-106.58594,35.648301,Productivity,0.2614
88,88,2614,-106.58594,35.648301,Productivity,0.2614
89,89,2614,-106.58594,35.648301,Productivity,0.2614
90,90,2614,-106.58594,35.648301,Productivity,0.2614
91,91,2614,-106.58594,35.648301,Productivity,0.2614
92,92,2614,-106.58594,35.648301,Productivity,0.2614
93,93,2614,-106.58594,35.648301,Productivity,0.2614
94,94,2614,-106.58594,35.648301,Productivity,0.2614
95,95,2614,-106.58594,35.648301,Productivity,0.2614
96,96,2614,-106.58594,35.648301,Productivity,0.2614
97,97,2614,-106.58594,35.648301,Productivity,0.2614
98,98,2614,-106.58594,35.648301,Productivity,0.2614
99,99,2658,-121.34083,50.68777,Productivity,0.2658
100,100,2658,-121.34083,50.68777,Productivity,0.2658
101,101,2778,-3.69194,40.41889,Productivity,0.2778
102,102,2778,-3.69194,40.41889,Productivity,0.2778
103,103,2778,-3.69194,40.41889,Productivity,0.2778
104,104,2778,-3.69194,40.41889,Productivity,0.2778
105,105,2778,-3.69194,40.41889,Productivity,0.2778
106,106,2778,-3.69194,40.41889,Productivity,0.2778
107,107,2778,-3.69194,40.41889,Productivity,0.2778
108,108,2778,-3.69194,40.41889,Productivity,0.2778
109,109,2778,-3.69194,40.41889,Productivity,0.2778
110,110,2875,-105.24069,39.36788,Productivity,0.2875
111,111,2875,-105.24069,39.36788,Productivity,0.2875
112,112,2875,-105.24069,39.36788,Productivity,0.2875
113,113,2875,-105.24069,39.36788,Productivity,0.2875
114,114,2875,-105.24069,39.36788,Productivity,0.2875
115,115,2875,-105.24069,39.36788,Productivity,0.2875
116,116,2875,-105.24069,39.36788,Productivity,0.2875
117,117,2875,-105.24069,39.36788,Productivity,0.2875
118,118,2875,-105.24069,39.36788,Productivity,0.2875
119,119,2875,-105.24069,39.36788,Productivity,0.2875
120,120,2875,-105.24069,39.36788,Productivity,0.2875
121,121,2875,-105.24069,39.36788,Productivity,0.2875
122,122,2875,-105.24069,39.36788,Productivity,0.2875
123,123,2875,-105.24069,39.36788,Productivity,0.2875
124,124,2875,-105.24069,39.36788,Productivity,0.2875
125,125,2875,-105.24069,39.36788,Productivity,0.2875
126,126,2875,-105.24069,39.36788,Productivity,0.2875
127,127,2875,-105.24069,39.36788,Productivity,0.2875
128,128,2875,-105.24069,39.36788,Productivity,0.2875
129,129,2875,-105.24069,39.36788,Productivity,0.2875
130,130,2971,-6.21638,37.43916,Productivity,0.2971
131,131,2971,-6.21638,37.43916,Productivity,0.2971
132,132,2971,-6.21638,37.43916,Productivity,0.2971
133,133,3129,43.23388,38.61333,Productivity,0.3129
134,134,3129,43.23388,38.61333,Productivity,0.3129
135,135,3129,43.23388,38.61333,Productivity,0.3129
136,136,3129,43.23388,38.61333,Productivity,0.3129
137,137,3129,43.23388,38.61333,Productivity,0.3129
138,138,3129,43.23388,38.61333,Productivity,0.3129
139,139,3129,43.23388,38.61333,Productivity,0.3129
140,140,3129,43.23388,38.61333,Productivity,0.3129
141,141,3444,-107.87778,50.32742553,Productivity,0.3444
142,142,3444,-107.87778,50.32742553,Productivity,0.3444
143,143,3444,-107.87778,50.32742553,Productivity,0.3444
144,144,3444,-107.87778,50.32742553,Productivity,0.3444
145,145,3444,-107.87778,50.32742553,Productivity,0.3444
146,146,3444,-107.87778,50.32742553,Productivity,0.3444
147,147,3687,150.88333,-32.25,Productivity,0.3687
148,148,3687,150.88333,-32.25,Productivity,0.3687
149,149,4474,-70.8325,-40.57333,Productivity,0.4474
150,150,4474,-70.8325,-40.57333,Productivity,0.4474
151,151,4474,-70.8325,-40.57333,Productivity,0.4474
152,152,4474,-70.8325,-40.57333,Productivity,0.4474
153,153,4474,-70.8325,-40.57333,Productivity,0.4474
154,154,4563,-122.15,51.41666,Productivity,0.4563
155,155,4645,21.89691,39.317167,Productivity,0.4645
156,156,4645,21.89691,39.317167,Productivity,0.4645
157,157,4645,21.89691,39.317167,Productivity,0.4645
158,158,4645,21.89691,39.317167,Productivity,0.4645
159,159,4645,21.89691,39.317167,Productivity,0.4645
160,160,4645,21.89691,39.317167,Productivity,0.4645
161,161,4645,21.89691,39.317167,Productivity,0.4645
162,162,4645,21.89691,39.317167,Productivity,0.4645
163,163,4645,21.89691,39.317167,Productivity,0.4645
164,164,4645,21.89691,39.317167,Productivity,0.4645
165,165,4645,21.89691,39.317167,Productivity,0.4645
166,166,4645,21.89691,39.317167,Productivity,0.4645
167,167,4666,-121.0218,50.47311,Productivity,0.4666
168,168,4666,-121.0218,50.47311,Productivity,0.4666
169,169,4666,-121.0218,50.47311,Productivity,0.4666
170,170,4666,-121.0218,50.47311,Productivity,0.4666
171,171,4666,-121.0218,50.47311,Productivity,0.4666
172,172,4666,-121.0218,50.47311,Productivity,0.4666
173,173,4666,-121.0218,50.47311,Productivity,0.4666
174,174,4666,-121.0218,50.47311,Productivity,0.4666
175,175,4666,-121.0218,50.47311,Productivity,0.4666
176,176,4666,-121.0218,50.47311,Productivity,0.4666
177,177,4666,-121.0218,50.47311,Productivity,0.4666
178,178,4666,-121.0218,50.47311,Productivity,0.4666
179,179,4666,-121.0218,50.47311,Productivity,0.4666
180,180,4666,-121.0218,50.47311,Productivity,0.4666
181,181,4666,-121.0218,50.47311,Productivity,0.4666
182,182,4666,-121.0218,50.47311,Productivity,0.4666
183,183,4666,-121.0218,50.47311,Productivity,0.4666
184,184,4666,-121.0218,50.47311,Productivity,0.4666
