Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,Nc,Mc,Sc,year_restoration,time,Temp,Precip,Mixture (yes/no),Disturbance levels,Severe Disturbance,Burn (Y/N),Seeded (Y/N),Multiple application (Y/N),Biome,Location,Coordinates (Latitude),Coordinate (longitude),Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1)
N,124,1,Albaladejo,2000,65,5,SE,80.83,26.43,5,17.16,6.82,5,6,16.1,33.5,No,low,N,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,0.169,14.95,0.8255
N,124,2,Albaladejo,2000,130,5,SE,225.71,156.87,5,17.16,6.82,5,6,16.1,33.5,No,low,N,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,0.338,29.9,1.651
N,124,3,Albaladejo,2000,195,5,SE,123.15,122.76,5,17.16,6.82,5,6,16.1,33.5,No,low,N,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,0.507,44.85,2.4765
N,124,4,Albaladejo,2000,260,5,SE,164.71,135.55,5,17.16,6.82,5,6,16.1,33.5,No,low,N,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,0.676,59.8,3.302
A,1,1,Antonelli,2018,150,8,SE,598,151,8,42.5,10.5,13,14,3.4,39.2,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,,43.65,6.15
A,1,2,Antonelli,2018,250,8,SE,666,170,8,43.5,10.5,13,14,3.4,39.2,No,high,Y,N,Y,N,Shrubland,"Kamloops, BC, Canada",50.51194,-120.97472,,72.75,10.25
S,24,1,Arvas,2011,25,3,N,492,154.9,3,188,78.6,1,2,8.9,44.1,No,low,N,N,N,Y,Shrubland,"Va, Turkey",38.61333,43.23388,0.00028,,0.325
S,24,1,Arvas,2011,50,3,N,384,120.9,3,188,78.6,1,2,8.9,44.1,No,low,N,N,N,N,Shrubland,"Va, Turkey",38.61333,43.23388,0.00056,,0.65
S,24,1,Arvas,2011,75,3,N,764,240.5,3,188,78.6,1,2,8.9,44.1,No,low,N,N,N,N,Shrubland,"Va, Turkey",38.61333,43.23388,0.00084,,0.975
S,24,1,Arvas,2011,100,3,N,762,239.8,3,188,78.6,1,2,8.9,44.1,No,low,N,N,N,N,Shrubland,"Va, Turkey",38.61333,43.23388,0.00112,,1.3
S,24,1,Arvas,2011,50,3,N,2326.07,732.1,3,880,367.9,2,3,8.9,44.1,No,low,N,N,N,Y,Shrubland,"Va, Turkey",38.61333,43.23388,0.00056,,0.65
S,24,1,Arvas,2011,100,3,N,2823.03,888.6,3,880,367.9,2,3,8.9,44.1,No,low,N,N,N,Y,Shrubland,"Va, Turkey",38.61333,43.23388,0.00112,,1.3
S,24,1,Arvas,2011,150,3,N,3680,1158.3,3,880,367.9,2,3,8.9,44.1,No,low,N,N,N,Y,Shrubland,"Va, Turkey",38.61333,43.23388,0.00168,,1.95
S,24,1,Arvas,2011,200,3,N,3513.03,1105.7,3,880,367.9,2,3,8.9,44.1,No,low,N,N,N,Y,Shrubland,"Va, Turkey",38.61333,43.23388,0.00224,,2.6
Z,2,1,Avery,2018,20,4,SE,154.1,26.52,4,79.1,12.7,14,15,3.3,38.8,No,low,N,N,N,N,Shrubland,"South Cariboo region, BC, Canada",51.41666,-122.15,,,1.0982
XX,164,1,Basta,2015,202,4,N,744,234.2,4,2080,869.6,2.5,4,9.7,93.4,No,medium,Y,N,Y,N,Temperate seasonal forest,Greater Chicago,41.79861,-87.96944,3.78346,40.602,3.1714
XX,164,2,Basta,2015,202,4,N,566,178.1,4,2080,869.6,2.5,4,9.7,93.4,Yes,medium,Y,N,Y,N,Temperate seasonal forest,Greater Chicago,41.79861,-87.96944,3.78346,40.602,3.1714
XX,164,3,Basta,2015,404,4,N,459,144.5,4,2080,869.6,2.5,4,9.7,93.4,No,medium,Y,N,Y,N,Temperate seasonal forest,Greater Chicago,41.79861,-87.96944,7.56692,81.204,6.3428
Y,3,1,Blumenthal,2017,22.4,6,SD ,173.39,21.46,6,138.82,15.93,1,2,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
Y,3,2,Blumenthal,2017,22.4,6,SD ,149.72,23.25,6,129.88,32.8,2,3,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
Y,3,3,Blumenthal,2017,22.4,6,SD ,186.51,15.08,6,151.59,14.29,3,4,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
Y,3,4,Blumenthal,2017,22.4,6,SD ,215.08,20.63,6,157.94,11.9,4,5,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
Y,3,5,Blumenthal,2017,22.4,6,SD ,372.11,83.6,6,246.33,64.81,5,6,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
Y,3,6,Blumenthal,2017,22.4,6,SD ,324.26,45.17,6,328.81,81.27,17,18,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
Y,3,7,Blumenthal,2017,22.4,6,SD ,383.05,53.03,6,338.55,84.6,22,23,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183,0.36064,,0.45472
YY,156,1,Brofas,2000,10,3,N,49.5,15.6,3,86.6,36.2,1,2,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,0.19,3.9,0.22
YY,156,2,Brofas,2000,20,3,N,63.5,20,3,86.6,36.2,1,2,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,0.38,7.8,0.44
YY,156,3,Brofas,2000,40,3,N,106.4,33.5,3,86.6,36.2,1,2,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,0.76,15.6,0.88
YY,156,4,Brofas,2000,60,3,N,151.7,47.7,3,86.6,36.2,1,2,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,1.14,23.4,1.32
YY,156,5,Brofas,2000,80,3,N,194.3,61.2,3,86.6,36.2,1,2,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,1.52,31.2,1.76
YY,156,6,Brofas,2000,120,3,N,224.8,70.8,3,86.6,36.2,1,2,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,2.28,46.8,2.64
YY,156,7,Brofas,2000,10,3,N,38.7,12.2,3,177,74,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,0.19,3.9,0.22
YY,156,8,Brofas,2000,20,3,N,52.3,16.5,3,177,74,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,0.38,7.8,0.44
YY,156,9,Brofas,2000,40,3,N,71.1,22.4,3,177,74,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,0.76,15.6,0.88
YY,156,10,Brofas,2000,60,3,N,99,31.2,3,177,74,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,1.14,23.4,1.32
YY,156,11,Brofas,2000,80,3,N,122.2,38.5,3,177,74,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,1.52,31.2,1.76
YY,156,12,Brofas,2000,120,3,N,142,44.7,3,177,74,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,2.28,46.8,2.64
