Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,seimp,Nc,Mc,Sc,scimp,year_restoration,yeartrans,Temp,Precip,Level P (Mg ha-1),TOC (Mg ha-1),TN (Mg ha-1),Mixture,Disturbances levels,Burn,Seeded,Multiple application ,Biome,Location,Coordinates (Latitude),Coordinate (longitude),S.dist
N,124,1,Albaladejo,2000,195,12,SE,90.29,14.38,14.38,12,5.84,7.64,7.64,5,6,16.1,33.5,2.6,44.85,2.477,N ,low,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,No
N,124,2,Albaladejo,2000,130,12,SE,83.55,18.87,18.87,12,5.84,7.64,7.64,5,6,16.1,33.5,2.6,29.9,1.651,N ,low,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,No
N,124,3,Albaladejo,2000,260,12,SE,99.37,22.47,22.47,12,5.84,7.64,7.64,5,6,16.1,33.5,2.6,59.8,3.302,N ,low,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,No
N,124,4,Albaladejo,2000,65,12,SE,52.54,23.82,23.82,12,5.84,7.64,7.64,5,6,16.1,33.5,2.6,14.95,0.826,N ,low,N,N,N,Temperate grassland,"Murcia, Spain",38.18333,-1.83333,No
AAA,26,1,Borden,2011,34,9,,136,,7.116042975,28,67,,5.181905463,10,11,8.7,53.2,0.007208,8.432,0.962,N ,high,N,Y,N,Shrubland,"Salt lake, city, Utah, USA",40.52187,-112.14612,Yes
AAA,26,2,Borden,2011,45,23,,115,,6.017242222,28,67,,5.181905463,10,11,8.7,53.2,0.00954,8.432,0.962,N ,high,N,Y,N,Shrubland,"Salt lake, city, Utah, USA",40.52187,-112.14612,Yes
AAA,26,3,Borden,2011,67,15,,108,,5.650975304,28,67,,5.181905463,10,11,8.7,53.2,0.014204,8.432,0.962,N ,high,N,Y,N,Shrubland,"Salt lake, city, Utah, USA",40.52187,-112.14612,Yes
YY,156,1,Brofas,2000,10,3,,32.7,,1.710989745,3,4.4,,0.340304239,1,2,14.9,74.2,0.19,3.9,0.22,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,2,Brofas,2000,20,3,,35.5,,1.857496512,3,4.4,,0.340304239,1,2,14.9,74.2,0.38,7.8,0.44,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,3,Brofas,2000,40,3,,48.5,,2.537706502,3,4.4,,0.340304239,1,2,14.9,74.2,0.76,15.6,0.88,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,4,Brofas,2000,60,3,,56.1,,2.935367727,3,4.4,,0.340304239,1,2,14.9,74.2,1.14,23.4,1.32,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,5,Brofas,2000,80,3,,77.2,,4.039400865,3,4.4,,0.340304239,1,2,14.9,74.2,1.52,31.2,1.76,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,6,Brofas,2000,120,3,,86.4,,4.520780243,3,4.4,,0.340304239,1,2,14.9,74.2,2.28,46.8,2.64,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,7,Brofas,2000,10,3,,31.2,,1.632503977,3,9.1,,0.70381104,4,5,14.9,74.2,0.19,3.9,0.22,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,8,Brofas,2000,20,3,,35.3,,1.847031743,3,9.1,,0.70381104,4,5,14.9,74.2,0.38,7.8,0.44,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,9,Brofas,2000,40,3,,38.4,,2.009235664,3,9.1,,0.70381104,4,5,14.9,74.2,0.76,15.6,0.88,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,10,Brofas,2000,60,3,,47,,2.459220734,3,9.1,,0.70381104,4,5,14.9,74.2,1.14,23.4,1.32,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,11,Brofas,2000,80,3,,54.7,,2.862114344,3,9.1,,0.70381104,4,5,14.9,74.2,1.52,31.2,1.76,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
YY,156,12,Brofas,2000,120,3,,61.2,,3.202219339,3,9.1,,0.70381104,4,5,14.9,74.2,2.28,46.8,2.64,N ,high,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691,Yes
CCC,30,1,Brown,2014,336,3,SD,93.9,1.69,1.69,3,5.08,3.95,3.95,12,13,14,108.7,,,,Y,high,N,Y,N,Temperate seasonal forest,"Joplin, Missouri, USA",37.08416,-94.51305,Yes
CCC,30,2,Brown,2014,112,3,SD,50.17,6.78,6.78,3,5.08,3.95,3.95,12,13,14,108.7,,,,Y,high,N,Y,N,Temperate seasonal forest,"Joplin, Missouri, USA",37.08416,-94.51305,Yes
BBB,29,1,Brown,2009,224,3,SD,93.38,8.3,8.3,3,3.37,2.82,2.82,7,8,-0.6,57,,,,Y,high,N,Y,N,Boreal forest,"Leadville, CO, USA",39.2,-106.35,Yes
BBB,29,2,Brown,2009,224,3,SD,15.09,8.58,8.58,3,3.37,2.82,2.82,7,8,-0.6,57,,,,Y,high,N,Y,N,Boreal forest,"Leadville, CO, USA",39.2,-106.35,Yes
BBB,29,3,Brown,2009,224,3,SD,9.99,8.9,8.9,3,3.37,2.82,2.82,7,8,-0.6,57,,,,Y,high,N,Y,N,Boreal forest,"Leadville, CO, USA",39.2,-106.35,Yes
BBB,29,4,Brown,2009,224,3,SD,50.16,9.99,9.99,3,3.37,2.82,2.82,7,8,-0.6,57,,,,Y,high,N,Y,N,Boreal forest,"Leadville, CO, USA",39.2,-106.35,Yes
BBB,29,5,Brown,2009,224,3,SD,23.45,15.96,15.96,3,3.37,2.82,2.82,7,8,-0.6,57,,,,Y,high,N,Y,N,Boreal forest,"Leadville, CO, USA",39.2,-106.35,Yes
G,132,1,Diaz,1997,6.5,5,,64.59,,3.379597175,5,3.63,,0.280750997,1,2,16.1,36.1,0.039,1.495,0.078,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,2,Diaz,1997,13,5,,89.72,,4.69449541,5,3.63,,0.280750997,1,2,16.1,36.1,0.078,2.99,0.156,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,3,Diaz,1997,19.5,5,,89.72,,4.69449541,5,3.63,,0.280750997,1,2,16.1,36.1,0.117,4.485,0.234,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,4,Diaz,1997,26,5,,97.92,,5.123550942,5,3.63,,0.280750997,1,2,16.1,36.1,0.156,5.98,0.312,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,5,Diaz,1997,6.5,5,,69.57,,3.640169925,5,5.09,,0.393670131,2,3,16.1,36.1,0.039,1.495,0.078,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,6,Diaz,1997,13,5,,89.72,,4.69449541,5,5.09,,0.393670131,2,3,16.1,36.1,0.078,2.99,0.156,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,7,Diaz,1997,19.5,5,,89.72,,4.69449541,5,5.09,,0.393670131,2,3,16.1,36.1,0.117,4.485,0.234,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,8,Diaz,1997,26,5,,94.81,,4.960823783,5,5.09,,0.393670131,2,3,16.1,36.1,0.156,5.98,0.312,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,9,Diaz,1997,6.5,5,,44.55,,2.331027313,5,9.03,,0.698397109,3,4,16.1,36.1,0.039,1.495,0.078,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,10,Diaz,1997,13,5,,81.72,,4.275904647,5,9.03,,0.698397109,3,4,16.1,36.1,0.078,2.99,0.156,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,11,Diaz,1997,19.5,5,,84.74,,4.43392266,5,9.03,,0.698397109,3,4,16.1,36.1,0.117,4.485,0.234,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,12,Diaz,1997,26,5,,97.82,,5.118318558,5,9.03,,0.698397109,3,4,16.1,36.1,0.156,5.98,0.312,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
G,132,13,Diaz,1997,6.5,5,,39.46,,2.06469894,5,8.1,,0.626469168,4,5,16.1,36.1,0.039,1.495,0.078,N ,low,N,N,N,Temperate grassland,"Abanilla, Spain",38.2062817,-1.0434985,No
