Experiment,Paper ID#,Case,author,year,Biosolid level (Mg ha-1),Ne,Error in the article,Me,Se,Nc,Mc,Sc,year_restoration,time,Temp,Precip,Mixture (yes/no),Disturbance levels,Severe Disturbance,Burn (Y/N),Seeded (Y/N),Multiple application (Y/N),Biome,Location,Coordinates (Latitude),Coordinate (longitude)
T,11,1,Wallace,2016,20,4,SE,2.4,3.4,4,0.1,0.2,8,9,16.1,33.5,No,low,N,N,N,N,Temperate grassand,"Ashcroft Ranch, BC",38.18333,-1.83333
T,11,2,Wallace,2016,60,4,SE,6.9,3.6,4,0.1,0.2,8,9,16.1,33.5,No,low,N,N,N,N,Temperate grassand,"Ashcroft Ranch, BC",38.18333,-1.83333
T,11,1,Wallace,2016,20,4,SE,0,0,4,0,0,8,9,16.1,33.5,No,low,N,N,N,N,Temperate grassand,"Ashcroft Ranch, BC",38.18333,-1.83333
T,11,2,Wallace,2016,60,4,SE,0.6,1,4,0,0,8,9,16.1,33.5,No,low,N,N,N,N,Temperate grassand,"Ashcroft Ranch, BC",38.18333,-1.83333
T,11,1,Wallace,2016,20,4,SE,16,5.8,4,10.2,7.6,8,9,16.1,33.5,No,low,N,N,N,N,Temperate grassand,"Ashcroft Ranch, BC",38.18333,-1.83333
T,11,2,Wallace,2016,60,4,SE,12.1,3.2,4,10.2,7.6,8,9,16.1,33.5,No,low,N,N,N,N,Temperate grassand,"Ashcroft Ranch, BC",38.18333,-1.83333
Y,3,6,Blumenthal,2017,22.4,6,SD ,75.3,86,6,36.8,37.7,17,18,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183
Y,3,7,Blumenthal,2017,22.4,6,SD ,443.5,239.1,6,373.3,272.6,22,23,6.8,38.4,No,low,N,N,N,N,Shrubland,"Cheyenne, Wyoming, USA",41.21286,-104.85183
YY,156,7,Brofas,2000,10,3,,38.7,93,3,177,86,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691
YY,156,8,Brofas,2000,20,3,,52.3,113,3,177,86,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691
YY,156,9,Brofas,2000,40,3,,71.1,108,3,177,86,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691
YY,156,10,Brofas,2000,60,3,,99,121,3,177,86,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691
YY,156,11,Brofas,2000,80,3,,122.2,98,3,177,86,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691
YY,156,12,Brofas,2000,120,3,,142,98,3,177,86,4,5,14.9,74.2,No,high,Y,N,Y,N,Shrubland,"Central Greece, area covered with piles of calcareous spoilsderived from bauxite mining",39.317167,21.89691
