,papers.from.same.study,Paper.ID,Case,author,year,Biosolid.level,Ne,Error.in.the.article,Me,Se,Seimp,Nc,Control.Mc,Control.Sc,Scimp,year_restoration,yeartrans,TOC..Mg.ha.1.,TN..Mg.ha.1.,plot.size,Quadrat.area..m2.,level..Mg.ha.1.,level.biosolid..kg.ha.1.,Level.P..kg.ha.1.,Level.N..kg.ha.1.,Level.C..g.ha.1.,Location,Country,Latitude,Longitude,Disturbance,Seeded,S.disturbance,Burned,multapp,Temp,Precip,biome,Mixture,Mc2
40,U,8,1,Moreno-Pe�aranda,2004,350,12,SD,30.8,9.5,9.5,12,41.5,14.2,14.2,2.58,4,58.1,NA,0.22m2 circle,0.04,350,350000,NA,NA,NA,"Catalonia, Spain",,42.03611,2.81722,Yes,No,Yes,No,N,7.5,77,Shrubland,No,41.5
41,B,10,1,Sullivan,2006,2.5,4,NA,16.4,NA,1.025666073,4,19.6,NA,1.244235546,12,13,NA,NA,15x15m,225,2.5,2500,28375,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,19.6
42,B,10,2,Sullivan,2006,5,4,NA,17.4,NA,1.088206687,4,19.6,NA,1.244235546,12,13,NA,NA,15x15m,225,5,5000,56750,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,19.6
43,B,10,3,Sullivan,2006,10,4,NA,13.3,NA,0.831790169,4,19.6,NA,1.244235546,12,13,NA,NA,15x15m,225,10,10000,113500,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,19.6
44,B,10,4,Sullivan,2006,21,4,NA,11,NA,0.687946756,4,19.6,NA,1.244235546,12,13,NA,NA,15x15m,225,21,21000,238350,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,19.6
45,B,10,5,Sullivan,2006,30,4,NA,11,NA,0.687946756,4,19.6,NA,1.244235546,12,13,NA,NA,15x15m,225,30,30000,340500,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,19.6
46,B,10,6,Sullivan,2006,2.5,4,NA,17.8,NA,1.113222933,4,16.6,NA,1.05379133,13,14,NA,NA,15x15m,225,2.5,2500,28375,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,16.6
47,B,10,7,Sullivan,2006,5,4,NA,15.6,NA,0.975633581,4,16.6,NA,1.05379133,13,14,NA,NA,15x15m,225,5,5000,56750,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,16.6
48,B,10,8,Sullivan,2006,10,4,NA,12.5,NA,0.781757677,4,16.6,NA,1.05379133,13,14,NA,NA,15x15m,225,10,10000,113500,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,16.6
49,B,10,9,Sullivan,2006,21,4,NA,11.5,NA,0.719217063,4,16.6,NA,1.05379133,13,14,NA,NA,15x15m,225,21,21000,238350,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,16.6
50,B,10,10,Sullivan,2006,30,4,NA,12.3,NA,0.769249555,4,16.6,NA,1.05379133,13,14,NA,NA,15x15m,225,30,30000,340500,NA,NA,"Fort Collins, CO, USA",,40.89611,-104.87444,Yes,No,No,No,Y,7.8,37.4,Shrubland,No,16.6
51,,26,1,Borden,2011,48.7,28,NA,7.2,NA,0.450292422,28,7.8,NA,0.495154962,10,11,8.432,0.9622,6x6m,36,45,45000,9540,NA,NA,"Salt lake, city, Utah, USA",,40.52187,-112.14612,Yes,Yes,Yes,No,N,8.7,53.2,Shrubland,No,7.8
52,D,33,1,Brown,2005,224,4,NA,18.93,NA,1.183893827,4,15.82,NA,1.004275834,2,3,NA,NA,0.2x0.2m,0.04,224,224000,NA,NA,NA,"Loadville, CO, USA",,39.2,-106.35,Yes,Yes,Yes,No,N,-0.6,57,Temperate seasonal forest,Yes,15.82
105,F,81,1,Paschke,2005,56,3,NA,13.67,NA,0.854930196,3,18,NA,1.142665297,4,5,NA,NA,9x4.5m,40.5,56,56000,NA,NA,NA,"Riffle, Colorado, USA",,39.8618,-108.3322,Yes,Yes,No,No,N,5.6,39.2,Shrubland,Yes,18
106,F,81,2,Paschke,2005,56,3,NA,5,NA,0.312703071,3,7,NA,0.444369838,4,5,NA,NA,9x4.5m,40.5,56,56000,NA,NA,NA,"Riffle, Colorado, USA",,39.8618,-108.3322,Yes,Yes,No,No,N,5.6,39.2,Shrubland,Yes,7
107,F,81,3,Paschke,2005,112,3,NA,8.33,NA,0.520963316,3,18,NA,1.142665297,4,5,NA,NA,9x4.5m,40.5,112,11200,NA,NA,NA,"Riffle, Colorado, USA",,39.8618,-108.3322,Yes,Yes,No,No,N,5.6,39.2,Shrubland,Yes,18
108,F,81,4,Paschke,2005,112,3,NA,4.67,NA,0.292064668,3,7,NA,0.444369838,4,5,NA,NA,9x4.5m,40.5,112,11200,NA,NA,NA,"Riffle, Colorado, USA",,39.8618,-108.3322,Yes,Yes,No,No,N,5.6,39.2,Shrubland,Yes,7
